# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
80,,BTSI,Boise R near Twin Springs,,Arrowrock_IN_MF,BTSI1,13185000,BOISE RIVER NR TWIN SPRINGS ID                     ,,74,GPR,GPR,Green Peter Reservoir,,Green Peter,GPRO3,,
81,,MORI,Mores Cr Abv Robie Cr nr Boise,,Mores_HW,MORI1,13200000,MORES CREEK AB ROBIE CREEK NR ARROWROCK DAM ID     ,,75,FOS,FOS,Foster Reservoir,,Foster,FOSO3,,
84,,BIGI,Boise R@Glenwd Brdg nr Boise,,Glenwood Bridge,BIGI1,13206000,BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID         ,,76,DET,DET,Detroit Dam,,Detroit,DETO3,,
85,,PARI,Boise R near Parma 2W,,DD_Boise nr Parma,PARI1,13213000,BOISE RIVER NR PARMA ID                            ,,77,BCL,BCL,Big Cliff Dam,,Big Cliff,,,
86,,SNYI,Snake R@Nyssa nr Payette,,Nyssa,SNYI1,13213100,SNAKE RIVER AT NYSSA OR                            ,,78,,SCO,Scoggins Dam,,Scoggins,SCDO3,,
87,,DEDI,Deadwood R Blw Deadwd Res,,Deadwood,DRBI1,13236500,DEADWOOD RIVER BL DEADWOOD RES NR LOWMAN ID        ,,79,MOS,MOS,MOS,,Mossyrock,MSRW1,,
88,,PRLI,South Fork Payette R nr Lowman,,Payette SF_HW,PRLI1,13235000,SOUTH FORK PAYETTE RIVER AT LOWMAN ID             ,,80,MAY,MAY,MAY,,Mayfield,MYDW1,,
89,,MFPI,Middle Fk Payette R nr Crouch,,Payette MF_HW,MFPI1,13237920,MIDDLE FORK PAYETTE RIVER NR CROUCH ID             ,,,,,,,,,,
91,,HRSI,Payette R near Horseshoe Bend,,Horseshoe Bend,HRSI1,13247500,PAYETTE RIVER NR HORSESHOE BEND ID                 ,,,,,,,,,,
92,,PRPI,Payette R near Payette,,Payette,PRPI1,13251000,PAYETTE RIVER NR PAYETTE ID                        ,,,,,,,,,,
93,,WSRI,Weiser R near Weiser,,Weiser_HW,WSRI1,13266000,WEISER RIVER NR WEISER ID                          ,,,,,,,,,,
96,,IMNO,Imnaha R @ Imnaha,,,IMNO3,13292000,IMNAHA RIVER AT IMNAHA,,,,,,,,,,
97,WHB,WHBI,Salmon R @ White Bird,,Snake+Salmon,WHBI1,13317000,SALMON RIVER AT WHITE BIRD ID                      ,,,,,,,,,,
98,,CHGI,Snake R@Mcduff Rapids,,Snake_RM178.27,SNMI1,13317660,SNAKE RIVER BL MCDUFF RAPIDS AT CHINA GARDENS ID  ,,,,,,,,,,
99,,TRYO,Grande Ronde R @ Troy,,Snake+Grande Ronde,TRYO3,13333000,GRANDE RONDE RIVER AT TROY OR                     ,,,,,,,,,,
100,ANA,ANAW,Snake R Near Anatone,,Snake+Grande Ronde,ANAW1,13334300,SNAKE RIVER NEAR ANATONE WA                       ,,,,,,,,,,
102,ORO,ORFI,Clearwater R @ Orofino,,Orofino,ORFI1,13340000,CLEARWATER RIVER AT OROFINO ID                     ,,,,,,,,,,
103,,PRII,Potlatch R Blw Ltl Potlatch Cr,,Clearwater+Potlach,PRII1,13341570,POTLATCH RIVER BEL LITTLE POTLATCH CR NR SPALDING  ,,,,,,,,,,
104,SPD,SPDI,Clearwater R near Spalding,,Spalding,SPDI1,13342500,CLEARWATER RIVER AT SPALDING ID                    ,,,,,,,,,,
