# Diversion and return flows, cfs. One row per day of a generic (non-leap) year.
# Read by scripts/externalRules/DiversionFromCSV.py
#
# Column headers are ResSim element names. A positive number takes water out of the
# network, a negative number puts it back, so the Return columns are negative.
#
# GENERATED from data/daily_diversions_returns_ALT.csv by
# scripts/externalRules/_offline_tests/build_DiversionConfig.py
# Do not edit by hand -- rerun that script instead.
#
# The source holds one value per MONTH, repeated across every day of that month.
# It is written out day by day only to match the layout the other config files use.
Month,Day,Diversion 1 down,Diversion 1 up,Diversion 2,Diversion 3,Diversion 4,Diversion 5,Diversion 6,Diversion 7,Diversion 8,Diversion 9,Diversion 10,Diversion 11,Diversion 12,Diversion 13,Diversion 14,Diversion 15,Return 1 down,Return 1 up,Return 2,Return 3,Return 4,Return 5,Return 6,Return 7,Return 8,Return 9,Return 10,Return 11,Return 12,Return 13,Return 14,Return 15
7,23,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,24,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,25,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,26,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,27,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,28,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,29,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,30,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
7,31,882,158,42,146,77,127,69,54,44,57,12,52,2,9,2,0,-228,-24,-5,-55,-14,-39,-7,-11,-11,-32,-1,-6,-1,-1,-1,0
8,1,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,2,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,3,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,4,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,5,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,6,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,7,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,8,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,9,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,10,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,11,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,12,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,13,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,14,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,15,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,16,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,17,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,18,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,19,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,20,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,21,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,22,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,23,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,24,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,25,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,26,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,27,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,28,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,29,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,30,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
8,31,772,130,34,136,64,115,55,45,38,59,10,42,2,7,2,0,-235,-25,-5,-57,-14,-40,-8,-12,-11,-33,-1,-6,-1,-1,-1,0
9,1,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,2,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,3,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,4,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,5,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,6,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,7,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,8,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,9,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,10,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,11,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,12,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,13,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,14,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,15,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,16,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,17,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,18,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,19,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,20,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,21,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,22,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,23,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,24,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,25,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,26,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,27,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,28,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,29,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
9,30,487,72,18,96,37,76,29,27,24,47,5,22,1,4,2,0,-180,-19,-4,-43,-11,-31,-6,-9,-9,-25,-1,-4,0,-1,-1,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-8,-2,-3,-4,-4,-4,-2,-2,0,-1,-3,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-8,-2,-3,-4,-4,-4,-2,-2,0,-1,-3,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-8,-2,-3,-4,-4,-4,-2,-2,0,-1,-3,0,0,0,0
10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-8,-2,-3,-4,-4,-4,-2,-2,0,-1,-3,0,0,0,0
10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-8,-2,-3,-4,-4,-4,-2,-2,0,-1,-3,0,0,0,0
