"# In the Columbia Basin, every agency and group has a slightly different naming convention",,,,,,,,,,,
# This file is the definitive source to lookup naming conventions,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,
"#For natural lakes (e.g. Arrow), put the lake elevation gage in the ""CBT_Code_Lake"" field, e.g. QBYB",,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,
ORDER_ID,POINT_TYPE,MODIFIED_FLOW_CODE,CBT_CODE,CBT_NAME,CBT_CODE_LAKE,RESSIM_NAME,NWRFC_CODE,USGS_CODE,USGS_NAME,HYDSIM_PROJECT_CODE,NOTES
135,Junction,,PRPI,Payette R near Payette,,Payette,PRPI1,13251000,PAYETTE RIVER NR PAYETTE ID                        ,,
136,Junction,,WSRI,Weiser R near Weiser,,Weiser_HW,WSRI1,13266000,WEISER RIVER NR WEISER ID                          ,,
137,Reservoir,BRN,BRN,Brownlee,,Brownlee,BRNI1,,,767,
138,Reservoir,OXB,OXB,,,Oxbow,,,,765,
139,Reservoir,HCD,HCD,Hells Canyon Dam,,Hells Canyon,HCDI1,,,762,
140,Junction,,HCDI,Snake R@Hells Canyon Dam,,,HCDI1,,,,
141,Junction,,IMNO,Imnaha R @ Imnaha,,,IMNO3,13292000,IMNAHA RIVER AT IMNAHA,,
142,Junction,WHB,WHBI,Salmon R @ White Bird,,Snake+Salmon,WHBI1,13317000,SALMON RIVER AT WHITE BIRD ID                      ,,
143,Junction,,CHGI,Snake R@Mcduff Rapids,,Snake_RM178.27,SNMI1,13317660,SNAKE RIVER BL MCDUFF RAPIDS AT CHINA GARDENS ID  ,,
144,Junction,,TRYO,Grande Ronde R @ Troy,,Snake+Grande Ronde,TRYO3,13333000,GRANDE RONDE RIVER AT TROY OR                     ,,
145,Junction,ANA,ANAW,Snake R Near Anatone,,Snake+Grande Ronde,ANAW1,13334300,SNAKE RIVER NEAR ANATONE WA                       ,,
146,Junction,ORO,ORFI,Clearwater R @ Orofino,,Orofino,ORFI1,13340000,CLEARWATER RIVER AT OROFINO ID                     ,,
147,Reservoir,DWR,DWR,Dworshak Dam,,Dworshak,DWRI1,,,535,
148,Junction,,PRII,Potlatch R Blw Ltl Potlatch Cr,,Clearwater+Potlach,PRII1,13341570,POTLATCH RIVER BEL LITTLE POTLATCH CR NR SPALDING  ,,
149,Junction,SPD,SPDI,Clearwater R near Spalding,,Spalding,SPDI1,13342500,CLEARWATER RIVER AT SPALDING ID                    ,,
150,Reservoir,LWG,LWG,Lower Granite Dam,,Lower Granite,LGDW1,,,520,
151,Reservoir,LGS,LGS,Little Goose Dam,,Little Goose,LGSW1,,,518,
152,Junction,,HOPW,Palouse R near Hooper,,,HOPW1,13351000,Palouse River at Hooper WA,,
153,Junction,,TCHW,Walla Walla R near Touchet,,,TCHW1,14018500,Walla Walla River near Touchet WA,,
154,Reservoir,LMN,LMN,Lower Monumental Dam,,Lower Monumental,LMNW1,,,504,
155,Reservoir,IHR,IHR,Ice Harbor Dam,,Ice Harbor,IHDW1,,,502,
156,Reservoir,MCN,MCN,McNary Dam,,McNary,MCDW1,,,488,
157,Junction,,UMAO,Umatilla River near Umatilla,,Columbia+Umatilla,UMAO3,14033500,Umatilla River near Umatilla OR                    ,,
